id,nome,url,metodo,regiao,ativo,intervalo_horas,notas
olx-aguas-claras,OLX Águas Claras,https://www.olx.com.br/imoveis/aluguel/estado-df/distrito-federal-e-regiao/brasilia/ra-xx---aguas-claras?sf=1&pe=1500,json_embutido,Águas Claras,TRUE,6,"__NEXT_DATA__ em props.pageProps.ads[]. Adicionar filtro de quartos quando identificar param correto."
olx-taguatinga,OLX Taguatinga,https://www.olx.com.br/imoveis/aluguel/estado-df/distrito-federal-e-regiao/brasilia/ra-iii---taguatinga?sf=1&pe=1500,json_embutido,Taguatinga,TRUE,6,"__NEXT_DATA__ mesmo padrão OLX Águas Claras."
zap-aguas-claras,ZAP Imóveis Águas Claras,https://www.zapimoveis.com.br/aluguel/apartamentos/df+aguas-claras/?tipoPagamento=aluguel&quartos=1,html_json_ld,Águas Claras,TRUE,8,"JSON-LD script[type=application/ld+json]. Campos: name, numberOfBedrooms, floorSize, address, price."
zap-taguatinga,ZAP Imóveis Taguatinga,https://www.zapimoveis.com.br/aluguel/apartamentos/df+taguatinga/?tipoPagamento=aluguel&quartos=1,html_json_ld,Taguatinga,TRUE,8,"Mesmo padrão ZAP Águas Claras."
dfimoveis-aguas-claras,DF Imóveis Águas Claras,https://www.dfimoveis.com.br/aluguel/df/aguas-claras/apartamento,html_json_ld,Águas Claras,TRUE,8,"JSON-LD ItemList com Product. Campos: name, offers.price, image, sku, url. Filtrar quartos por descrição."
dfimoveis-taguatinga,DF Imóveis Taguatinga,https://www.dfimoveis.com.br/aluguel/df/taguatinga/apartamento,html_json_ld,Taguatinga,TRUE,8,"Mesmo padrão DF Imóveis Águas Claras."
rentola-aguas-claras,Rentola Águas Claras,https://rentola.com.br/alugar/aguas-claras,html_json_ld,Águas Claras,TRUE,12,"RealEstateListing Schema.org. 315 imóveis. Campos ricos: geo, price, bedrooms, bathrooms, postalCode."
imovelweb-aguas-claras,ImovelWeb Águas Claras,https://www.imovelweb.com.br/apartamentos-aluguel-aguas-claras-df.html,html_json_ld,Águas Claras,TRUE,8,"JSON-LD ItemList RealEstateListing. Campos: address, price, floorSize, numberOfBedrooms."
imovelweb-taguatinga,ImovelWeb Taguatinga,https://www.imovelweb.com.br/apartamentos-aluguel-taguatinga-df.html,html_json_ld,Taguatinga,TRUE,8,"Mesmo padrão ImovelWeb Águas Claras. URL corrigida para 1 quarto."
quintoandar-aguas-claras,QuintoAndar Águas Claras,https://www.quintoandar.com.br/alugar/imovel/aguas-claras-brasilia-df-brasil,html_json_ld,Águas Claras,TRUE,8,"JSON-LD Product Schema. Campos: name, price, floorSize, numberOfBedrooms, address, image."
quintoandar-taguatinga,QuintoAndar Taguatinga,https://www.quintoandar.com.br/alugar/imovel/taguatinga-brasilia-df-brasil/apartamento,html_json_ld,Taguatinga,TRUE,8,"Mesmo padrão QuintoAndar Águas Claras."
wimoveis-aguas-claras,WiMóveis Águas Claras,https://www.wimoveis.com.br/aluguel/apartamentos/df/aguas-claras,playwright,Águas Claras,FALSE,12,"ATENÇÃO: Usa React/AJAX com Loadable Chunks. Dados NÃO embutidos no HTML. Requer Playwright. Ativar após os demais estarem funcionando."
wimoveis-taguatinga,WiMóveis Taguatinga,https://www.wimoveis.com.br/aluguel/imoveis/df/taguatinga/ordem-precio-menor,playwright,Taguatinga,FALSE,12,"Mesmo padrão WiMóveis. Desativado no MVP — ativar depois."
